Wavelength [nm],Responsivity [counts/(uW/cm^2)]
290.713871154962,0
309.518282066164,22.8108903605592
315.089959373186,155.261221486387
317.875798026698,290.6548933039
321.88044109112,464.311994113319
324.666279744632,437.086092715232
328.322692977365,494.481236203091
331.979106210099,454.010301692421
336.157864190366,515.820456217807
339.814277423099,457.689477557027
343.993035403366,517.29212656365
348.345908299478,424.57689477557
351.828206616367,461.368653421634
356.703424260012,356.144223693893
360.708067324434,399.558498896247
365.757399883923,328.182487122885
370.458502611724,399.558498896247
375.507835171213,321.559970566593
380.905397562391,393.671817512877
385.95473012188,310.522442972774
390.655832849681,353.936718175129
396.749854904237,265.636497424577
401.450957632037,296.54157468727
405.629715612304,225.165562913907
407.893209518282,205.298013245033
411.549622751016,214.86387049301
418.165989553105,39.7350993377483
422.344747533372,7.35835172921266
443.586767266396,0
